purchase_id,customer_id,product_category,product_name,quantity,price_per_item,purchase_date,customer_state,shipping_method,total_price
P00004,C0343,Sports,Yoga Mat,2,374.8,2024-09-08,CA,Standard,749.6
P00005,C0022,Books,Rug,5,311.48,2024-06-28,NY,Express,1557.4
P00006,C0121,Electronics,Basketball,3,31.62,2024-08-28,CA,Overnight,94.86
P00012,C0444,Sports,Cushion,5,54.5,2024-09-27,CA,Overnight,272.5
P00017,C0337,Home & Garden,Garden Tools,3,234.02,2024-11-04,NY,Express,702.0600000000001
P00020,C0132,Home & Garden,Basketball,3,328.9,2024-07-28,CA,Standard,986.6999999999999
P00025,C0346,Clothing,Jeans,3,168.09,2024-02-03,NY,Express,504.27
P00027,C0056,Clothing,Hat,4,15.8,2024-06-29,CA,Express,63.2
P00033,C0185,Electronics,Lamp,5,37.16,2024-12-26,NY,Express,185.79999999999998
P00038,C0181,Books,Headphones,3,27.59,2024-03-13,CA,Standard,82.77
P00040,C0219,Clothing,Novel,5,443.72,2024-06-29,NY,Express,2218.6000000000004
P00046,C0444,Electronics,Cushion,5,89.55,2024-05-02,CA,Overnight,447.75
P00050,C0285,Electronics,Cookbook,5,439.32,2024-06-04,CA,Express,2196.6
P00054,C0322,Home & Garden,Hat,4,193.8,2024-08-15,NY,Express,775.2
P00057,C0069,Clothing,Monitor,4,48.09,2024-04-04,CA,Express,192.36
P00059,C0284,Books,Basketball,3,238.16,2024-01-21,NY,Overnight,714.48
P00063,C0271,Home & Garden,Headphones,4,347.17,2024-07-09,NY,Express,1388.68
P00065,C0325,Sports,Monitor,3,329.89,2024-09-25,NY,Overnight,989.67
P00071,C0073,Electronics,Smartphone,2,160.76,2024-09-29,NY,Express,321.52
P00075,C0021,Books,Rug,5,135.7,2024-03-01,CA,Express,678.5
P00080,C0254,Sports,T-Shirt,2,121.94,2024-11-06,CA,Standard,243.88
P00089,C0116,Electronics,Jeans,4,346.97,2024-04-08,CA,Standard,1387.88
P00096,C0131,Sports,Cushion,2,476.75,2024-02-27,CA,Standard,953.5
P00097,C0081,Clothing,Plant Pot,2,326.69,2024-05-22,NY,Standard,653.38
P00103,C0423,Home & Garden,Yoga Mat,5,134.9,2024-08-07,CA,Overnight,674.5
P00105,C0463,Books,Running Shoes,3,11.76,2024-11-24,CA,Express,35.28
P00113,C0064,Books,Lamp,2,199.99,2024-09-25,NY,Standard,399.98
P00114,C0296,Electronics,Dumbbells,3,285.72,2024-01-05,CA,Standard,857.1600000000001
P00116,C0015,Home & Garden,Tennis Racket,5,477.54,2024-07-10,NY,Overnight,2387.7000000000003
P00119,C0493,Sports,Cushion,4,305.16,2024-10-29,CA,Overnight,1220.64
P00124,C0227,Clothing,Magazine,5,299.26,2024-08-10,CA,Standard,1496.3
P00138,C0097,Home & Garden,Textbook,3,452.3,2024-02-16,CA,Express,1356.9
P00142,C0082,Sports,Yoga Mat,5,306.77,2024-09-16,NY,Overnight,1533.85
P00143,C0342,Home & Garden,Cookbook,4,54.28,2024-11-11,NY,Standard,217.12
P00146,C0388,Home & Garden,Plant Pot,3,361.02,2024-02-10,NY,Standard,1083.06
P00148,C0216,Books,Textbook,4,249.97,2024-01-22,CA,Overnight,999.88
P00149,C0322,Home & Garden,Textbook,4,407.06,2024-05-12,CA,Standard,1628.24
P00153,C0275,Books,Garden Tools,5,169.92,2024-08-28,NY,Express,849.5999999999999
P00156,C0440,Books,Novel,3,346.09,2024-01-28,NY,Standard,1038.27
P00157,C0221,Clothing,Shoes,4,48.73,2024-08-16,NY,Standard,194.92
P00158,C0364,Clothing,Textbook,4,15.95,2024-06-18,CA,Express,63.8
P00160,C0372,Sports,Dumbbells,5,416.12,2024-12-07,CA,Standard,2080.6
P00165,C0131,Clothing,Dumbbells,2,138.24,2024-06-07,NY,Standard,276.48
P00173,C0272,Home & Garden,Smartphone,3,209.83,2024-01-15,NY,Standard,629.49
P00179,C0116,Sports,Monitor,4,21.91,2024-10-11,CA,Standard,87.64
P00180,C0449,Sports,Jeans,3,241.21,2024-11-15,NY,Standard,723.63
P00185,C0353,Clothing,T-Shirt,2,124.76,2024-02-16,NY,Overnight,249.52
P00188,C0408,Clothing,Dumbbells,3,478.87,2024-11-23,NY,Overnight,1436.6100000000001
P00189,C0369,Books,T-Shirt,4,179.29,2024-05-17,CA,Overnight,717.16
P00190,C0320,Home & Garden,Plant Pot,5,170.64,2024-06-20,NY,Overnight,853.1999999999999
P00194,C0052,Electronics,Tablet,4,380.64,2024-06-03,NY,Standard,1522.56
P00196,C0073,Home & Garden,Rug,4,282.37,2024-08-20,CA,Overnight,1129.48
P00204,C0413,Clothing,Monitor,2,183.1,2024-09-28,CA,Overnight,366.2
P00208,C0167,Clothing,Textbook,2,146.97,2024-11-02,NY,Standard,293.94
P00210,C0022,Sports,Garden Tools,3,432.93,2024-01-09,CA,Overnight,1298.79
P00212,C0235,Home & Garden,Cushion,5,80.69,2024-07-28,NY,Express,403.45
P00221,C0438,Books,Rug,2,300.39,2024-12-17,NY,Standard,600.78
P00224,C0269,Books,Tablet,5,364.05,2024-12-11,CA,Express,1820.25
P00227,C0193,Clothing,Cushion,3,169.91,2024-09-04,NY,Overnight,509.73
P00244,C0038,Sports,Laptop,3,337.31,2024-08-24,NY,Standard,1011.9300000000001
P00253,C0371,Home & Garden,Monitor,2,244.1,2024-01-09,NY,Standard,488.2
P00254,C0409,Sports,Cookbook,4,342.4,2024-03-15,NY,Express,1369.6
P00267,C0483,Books,Tennis Racket,5,240.2,2024-07-09,CA,Express,1201.0
P00272,C0469,Books,Headphones,3,77.27,2024-08-28,NY,Express,231.81
P00277,C0113,Electronics,Jacket,2,257.67,2024-07-30,CA,Overnight,515.34
P00281,C0484,Electronics,Monitor,5,420.47,2024-06-15,NY,Standard,2102.3500000000004
P00284,C0319,Home & Garden,Cookbook,4,26.43,2024-09-06,CA,Standard,105.72
P00286,C0198,Home & Garden,Novel,5,53.55,2024-02-13,NY,Standard,267.75
P00293,C0055,Books,Garden Tools,4,371.46,2024-07-17,NY,Express,1485.84
P00294,C0260,Sports,Cookbook,3,307.78,2024-10-18,CA,Express,923.3399999999999
P00300,C0462,Books,Shoes,2,219.04,2024-02-20,CA,Standard,438.08
P00303,C0166,Home & Garden,Magazine,2,350.44,2024-01-07,CA,Overnight,700.88
P00306,C0456,Home & Garden,Textbook,2,299.24,2024-01-04,CA,Overnight,598.48
P00307,C0479,Books,Shoes,4,105.46,2024-05-25,NY,Overnight,421.84
P00326,C0121,Books,T-Shirt,3,456.66,2024-02-11,NY,Overnight,1369.98
P00327,C0142,Clothing,Rug,2,341.63,2024-11-17,NY,Overnight,683.26
P00329,C0201,Sports,Garden Tools,2,290.7,2024-06-09,NY,Overnight,581.4
P00332,C0289,Clothing,Garden Tools,4,105.89,2024-03-09,CA,Standard,423.56
P00335,C0421,Clothing,Rug,3,61.77,2024-01-08,CA,Overnight,185.31
P00340,C0467,Clothing,Lamp,2,280.41,2024-03-23,CA,Express,560.82
P00345,C0203,Electronics,Garden Tools,4,32.66,2024-02-01,NY,Overnight,130.64
P00346,C0265,Clothing,Tennis Racket,2,353.5,2024-02-27,NY,Express,707.0
P00350,C0465,Clothing,Rug,3,226.49,2024-03-14,NY,Overnight,679.47
P00361,C0333,Clothing,Cookbook,3,167.14,2024-08-25,NY,Standard,501.41999999999996
P00369,C0064,Books,Lamp,3,421.06,2024-05-13,NY,Overnight,1263.18
P00370,C0484,Electronics,Garden Tools,3,13.34,2024-01-16,CA,Express,40.019999999999996
P00371,C0006,Clothing,Running Shoes,3,17.1,2024-02-14,NY,Overnight,51.300000000000004
P00372,C0263,Electronics,Garden Tools,2,135.43,2024-04-24,CA,Overnight,270.86
P00378,C0395,Electronics,Shoes,5,365.74,2024-02-14,CA,Standard,1828.7
P00380,C0470,Books,Tablet,2,438.44,2024-02-07,CA,Express,876.88
P00381,C0427,Sports,T-Shirt,3,105.77,2024-06-07,CA,Standard,317.31
P00382,C0451,Sports,Tennis Racket,4,400.08,2024-07-24,NY,Standard,1600.32
P00384,C0165,Clothing,Textbook,2,207.21,2024-10-13,CA,Overnight,414.42
P00385,C0176,Books,Smartphone,5,297.86,2024-11-11,NY,Overnight,1489.3000000000002
P00390,C0178,Electronics,Jeans,2,38.61,2024-02-03,NY,Standard,77.22
P00391,C0451,Home & Garden,Rug,4,404.16,2024-09-13,NY,Express,1616.64
P00392,C0370,Books,Shoes,3,446.46,2024-02-08,NY,Express,1339.3799999999999
P00395,C0468,Clothing,Laptop,5,443.75,2024-02-19,CA,Overnight,2218.75
P00400,C0292,Clothing,Headphones,5,295.16,2024-06-12,NY,Standard,1475.8000000000002
P00408,C0034,Home & Garden,Garden Tools,3,93.56,2024-12-17,NY,Express,280.68
P00410,C0489,Home & Garden,Textbook,2,269.83,2024-07-30,CA,Standard,539.66
P00413,C0110,Books,Jeans,5,460.87,2024-04-07,CA,Standard,2304.35
P00419,C0090,Sports,Textbook,4,398.27,2024-03-24,NY,Standard,1593.08
P00423,C0486,Home & Garden,Novel,4,30.81,2024-01-23,NY,Express,123.24
P00424,C0077,Clothing,Tennis Racket,2,252.93,2024-09-03,CA,Standard,505.86
P00428,C0185,Clothing,Yoga Mat,3,160.13,2024-04-01,NY,Express,480.39
P00430,C0032,Home & Garden,Headphones,2,259.4,2024-05-15,CA,Standard,518.8
P00431,C0422,Books,Headphones,4,118.8,2024-03-04,CA,Express,475.2
P00441,C0489,Home & Garden,Novel,4,100.06,2024-02-12,CA,Standard,400.24
P00444,C0322,Books,Yoga Mat,4,175.37,2024-04-10,CA,Overnight,701.48
P00458,C0035,Books,Tablet,4,237.8,2024-10-29,CA,Overnight,951.2
P00460,C0449,Sports,Running Shoes,3,431.24,2024-10-17,CA,Overnight,1293.72
P00462,C0203,Clothing,Magazine,3,265.25,2024-09-02,CA,Standard,795.75
P00466,C0419,Books,Lamp,4,96.4,2024-02-25,CA,Standard,385.6
P00467,C0323,Electronics,Laptop,2,456.25,2024-12-21,NY,Overnight,912.5
P00479,C0034,Clothing,Basketball,3,281.58,2024-09-14,NY,Overnight,844.74
P00480,C0338,Electronics,Dumbbells,5,107.78,2024-10-26,NY,Overnight,538.9
P00483,C0357,Electronics,Rug,4,31.05,2024-07-30,CA,Express,124.2
P00492,C0124,Electronics,Hat,3,348.5,2024-08-26,NY,Standard,1045.5
P00498,C0232,Electronics,Cookbook,3,107.5,2024-04-27,CA,Overnight,322.5
P00501,C0161,Sports,Magazine,2,464.03,2024-02-14,CA,Standard,928.06
P00503,C0424,Home & Garden,Cushion,4,332.96,2024-08-21,NY,Overnight,1331.84
P00504,C0006,Books,Cookbook,4,152.78,2024-06-18,CA,Standard,611.12
P00510,C0361,Electronics,Shoes,4,426.54,2024-11-09,CA,Overnight,1706.16
P00514,C0447,Electronics,T-Shirt,3,87.97,2024-02-08,CA,Express,263.90999999999997
P00520,C0128,Home & Garden,Cushion,2,10.09,2024-05-23,CA,Express,20.18
P00532,C0083,Electronics,Lamp,2,481.04,2024-01-28,CA,Overnight,962.08
P00538,C0448,Home & Garden,Basketball,4,204.44,2024-11-04,NY,Overnight,817.76
P00539,C0236,Home & Garden,Yoga Mat,2,82.37,2024-09-08,NY,Overnight,164.74
P00541,C0454,Books,Smartphone,5,414.89,2024-06-30,CA,Express,2074.45
P00546,C0282,Sports,Cookbook,2,332.56,2024-06-10,NY,Express,665.12
P00548,C0254,Books,Hat,2,444.99,2024-09-11,CA,Express,889.98
P00549,C0358,Sports,Monitor,4,376.46,2024-03-31,CA,Standard,1505.84
P00550,C0030,Clothing,Cushion,2,360.65,2024-07-23,CA,Overnight,721.3
P00551,C0210,Books,Cookbook,4,150.71,2024-02-10,CA,Express,602.84
P00553,C0368,Books,Basketball,3,156.88,2024-10-31,CA,Overnight,470.64
P00556,C0292,Electronics,Magazine,3,376.77,2024-01-24,CA,Standard,1130.31
P00557,C0251,Books,Cookbook,3,78.04,2024-10-11,NY,Overnight,234.12
P00565,C0118,Electronics,Cushion,3,314.42,2024-10-02,NY,Overnight,943.26
P00569,C0270,Home & Garden,Rug,5,238.78,2024-08-03,NY,Overnight,1193.9
P00587,C0332,Electronics,Cookbook,5,123.67,2024-01-18,NY,Standard,618.35
P00590,C0427,Books,Garden Tools,2,233.74,2024-06-15,NY,Standard,467.48
P00591,C0008,Electronics,Tablet,4,330.57,2024-01-17,NY,Express,1322.28
P00592,C0220,Clothing,Running Shoes,3,371.06,2024-09-07,NY,Overnight,1113.18
P00597,C0163,Home & Garden,Garden Tools,5,220.09,2024-12-14,NY,Overnight,1100.45
P00599,C0350,Clothing,T-Shirt,5,188.33,2024-10-08,NY,Standard,941.6500000000001
P00602,C0437,Home & Garden,Tablet,2,347.86,2024-07-01,NY,Overnight,695.72
P00607,C0199,Books,Novel,4,128.2,2024-10-17,CA,Standard,512.8
P00609,C0200,Books,Smartphone,2,155.36,2024-05-04,CA,Express,310.72
P00611,C0018,Clothing,Yoga Mat,2,123.87,2024-12-01,NY,Overnight,247.74
P00616,C0034,Electronics,Novel,3,324.83,2024-04-27,CA,Express,974.49
P00622,C0010,Clothing,Jeans,2,218.09,2024-08-13,NY,Express,436.18
P00625,C0013,Books,Cushion,5,262.02,2024-11-24,NY,Overnight,1310.1
P00627,C0061,Electronics,Dumbbells,3,361.99,2024-06-25,NY,Express,1085.97
P00628,C0204,Sports,Shoes,4,163.64,2024-06-20,CA,Standard,654.56
P00629,C0260,Electronics,Yoga Mat,2,119.11,2024-08-16,NY,Standard,238.22
P00634,C0224,Electronics,Jacket,4,78.66,2024-02-02,CA,Express,314.64
P00637,C0411,Electronics,Basketball,5,16.72,2024-01-27,CA,Express,83.6
P00638,C0062,Electronics,Cushion,5,126.71,2024-06-05,CA,Express,633.55
P00640,C0473,Books,Jacket,2,363.11,2024-09-10,CA,Standard,726.22
P00641,C0222,Home & Garden,Jeans,4,471.74,2024-06-13,NY,Overnight,1886.96
P00642,C0213,Electronics,Magazine,4,434.7,2024-03-31,NY,Overnight,1738.8
P00643,C0238,Clothing,Jeans,5,85.76,2024-12-10,NY,Overnight,428.8
P00656,C0471,Home & Garden,Cushion,4,451.59,2024-03-12,NY,Overnight,1806.36
P00667,C0086,Clothing,T-Shirt,5,283.77,2024-10-27,NY,Overnight,1418.85
P00668,C0244,Electronics,Cushion,2,72.36,2024-05-06,NY,Overnight,144.72
P00671,C0138,Electronics,Smartphone,2,428.52,2024-02-13,CA,Standard,857.04
P00673,C0127,Electronics,Yoga Mat,2,166.4,2024-11-21,CA,Standard,332.8
P00681,C0231,Home & Garden,Plant Pot,2,304.01,2024-09-25,NY,Standard,608.02
P00688,C0482,Home & Garden,Rug,2,133.45,2024-12-16,NY,Express,266.9
P00690,C0268,Home & Garden,Lamp,5,489.26,2024-12-30,CA,Overnight,2446.3
P00693,C0394,Clothing,Rug,4,324.15,2024-10-17,NY,Express,1296.6
P00696,C0233,Books,Tennis Racket,5,378.28,2024-08-19,CA,Express,1891.3999999999999
P00707,C0090,Clothing,Dumbbells,4,230.71,2024-03-06,NY,Express,922.84
P00712,C0014,Sports,Lamp,5,368.71,2024-07-26,CA,Standard,1843.55
P00713,C0424,Clothing,Cookbook,3,285.06,2024-07-27,CA,Express,855.1800000000001
P00714,C0443,Books,Cookbook,2,49.89,2024-12-23,NY,Express,99.78
P00719,C0270,Home & Garden,Cushion,2,13.13,2024-10-28,NY,Express,26.26
P00720,C0479,Sports,Cookbook,5,226.85,2024-04-26,CA,Standard,1134.25
P00721,C0436,Sports,Tennis Racket,2,346.25,2024-05-13,CA,Overnight,692.5
P00725,C0142,Sports,Rug,2,338.33,2024-01-13,NY,Standard,676.66
P00730,C0257,Electronics,Basketball,4,143.15,2024-12-08,NY,Express,572.6
P00734,C0406,Sports,Novel,5,477.76,2024-07-26,CA,Standard,2388.8
P00737,C0409,Books,Headphones,5,317.79,2024-01-19,NY,Express,1588.95
P00739,C0076,Books,Smartphone,4,56.49,2024-06-06,NY,Overnight,225.96
P00740,C0491,Sports,Cookbook,5,214.53,2024-05-17,CA,Express,1072.65
P00741,C0484,Home & Garden,Monitor,3,212.81,2024-12-26,CA,Express,638.4300000000001
P00743,C0282,Clothing,Hat,3,374.67,2024-06-03,CA,Overnight,1124.01
P00748,C0482,Sports,Tablet,3,420.96,2024-06-15,CA,Standard,1262.8799999999999
P00750,C0402,Electronics,Garden Tools,5,363.75,2024-12-08,NY,Express,1818.75
P00759,C0445,Clothing,Lamp,5,458.91,2024-09-17,CA,Standard,2294.55
P00762,C0002,Books,Running Shoes,3,321.96,2024-06-23,NY,Express,965.8799999999999
P00766,C0049,Electronics,Shoes,4,148.1,2024-01-31,CA,Overnight,592.4
P00768,C0129,Sports,Tennis Racket,3,84.55,2024-03-30,NY,Standard,253.64999999999998
P00769,C0379,Home & Garden,Basketball,2,230.77,2024-01-04,NY,Express,461.54
P00772,C0342,Electronics,Jacket,4,189.97,2024-08-17,CA,Express,759.88
P00774,C0298,Electronics,T-Shirt,4,15.86,2024-04-20,CA,Standard,63.44
P00778,C0001,Books,Dumbbells,4,490.46,2024-02-03,NY,Express,1961.84
P00789,C0369,Sports,Monitor,5,36.46,2024-03-09,NY,Overnight,182.3
P00790,C0023,Clothing,Tablet,3,50.24,2024-03-11,CA,Overnight,150.72
P00792,C0162,Sports,Tablet,3,301.22,2024-12-20,CA,Standard,903.6600000000001
P00798,C0122,Sports,Headphones,2,334.14,2024-09-19,NY,Standard,668.28
P00803,C0198,Electronics,Basketball,3,142.88,2024-02-06,CA,Express,428.64
P00808,C0180,Sports,Basketball,4,13.82,2024-07-05,NY,Standard,55.28
P00813,C0193,Books,Cushion,4,392.98,2024-06-27,CA,Standard,1571.92
P00819,C0029,Books,Smartphone,3,151.5,2024-02-10,NY,Overnight,454.5
P00820,C0154,Sports,Jeans,3,259.35,2024-01-24,NY,Standard,778.0500000000001
P00827,C0401,Electronics,Textbook,4,256.93,2024-07-16,NY,Express,1027.72
P00829,C0387,Home & Garden,Jacket,4,408.57,2024-04-20,CA,Overnight,1634.28
P00831,C0416,Home & Garden,Textbook,3,67.24,2024-10-02,CA,Standard,201.71999999999997
